AGENT,PICKED,PR,NMPR,WON,LOST,WR,NMWR
Vyse,7,0.029166667,0.029166667,4,3,0.5714286,0.5714286
Deadlock,5,0.020833334,0.020833334,1,4,0.2,0.2
Sova,76,0.31666666,0.075,41,35,0.5394737,0.6666667
Cypher,125,0.5208333,0.20416667,64,61,0.512,0.53061223
Phoenix,11,0.045833334,0.045833334,3,8,0.27272728,0.27272728
Jett,67,0.27916667,0.1625,32,35,0.47761193,0.46153846
Killjoy,58,0.24166666,0.13333334,30,28,0.51724136,0.53125
Raze,95,0.39583334,0.079166666,49,46,0.51578945,0.57894737
Fade,76,0.31666666,0.13333334,43,33,0.56578946,0.65625
Neon,65,0.27083334,0.17083333,36,29,0.5538462,0.58536583
KAY/O,6,0.025,0.025,3,3,0.5,0.5
Yoru,27,0.1125,0.09583333,13,14,0.4814815,0.47826087
Omen,130,0.5416667,0.11666667,62,68,0.47692308,0.39285713
Iso,40,0.16666667,0.125,18,22,0.45,0.43333334
Breach,62,0.25833333,0.16666667,33,29,0.5322581,0.55
Harbour,7,0.029166667,0.029166667,1,6,0.14285715,0.14285715
Gekko,65,0.27083334,0.12916666,32,33,0.4923077,0.48387095
Sage,16,0.06666667,0.058333334,8,8,0.5,0.5
Clove,20,0.083333336,0.075,9,11,0.45,0.44444445
Astra,52,0.21666667,0.108333334,32,20,0.61538464,0.7307692
Brimstone,45,0.1875,0.12083333,23,22,0.51111114,0.51724136
Chamber,24,0.1,0.075,10,14,0.41666666,0.3888889
Viper,70,0.29166666,0.18333334,35,35,0.5,0.5
Skye,25,0.104166664,0.0875,10,15,0.4,0.3809524
Reyna,15,0.0625,0.054166667,7,8,0.46666667,0.46153846
