Name,Agents,Games played,Games won,Games lost,Rounds played,Rounds won,Rounds lost,ACS,Kills,Kills / Game,Kills / Round,Deaths,Deaths / Game,Deaths / Round,Assists,Assists / Game,Assists / Round,K/D,ADR,KAST,First Kills,First Kills / Game,First Deaths,First Deaths / Game,HS %,Plants,Plants / Game,Defuses,Defuses / Game,Eco Score
GMT L1gh7,Sova Gekko Reyna,7,3,4,138,56,82,218.42857,105,15,0.76086956,105,15,0.76086956,45,6.428571,0.32608697,1.0071428,142.52858,74.57143,9,1.2857143,12,1.7142857,17.857143,24,3.4285715,3,0.42857143,62.285713
Juniper,Fade Yoru Sage,7,3,4,147,66,81,148.42857,78,11.142858,0.53061223,112,16,0.7619048,32,4.571429,0.21768707,0.7114286,95.3,64.57143,10,1.4285715,13,1.8571428,13.714286,6,0.85714287,5,0.71428573,43.285713
Artilize,Fade Sova Neon Iso,8,5,3,146,83,63,221.5,116,14.5,0.79452056,97,12.125,0.6643836,50,6.25,0.34246576,1.2937499,146.77501,76.625,13,1.625,12,1.5,27.25,10,1.25,3,0.375,63.375
Jan JürgenXXL,Raze Omen Sova Cypher,10,5,5,220,117,103,208.5,161,16.1,0.7318182,162,16.2,0.73636365,49,4.9,0.22272727,1.053,139.01001,74.3,27,2.7,18,1.8,22.6,3,0.3,7,0.7,58.6
BOSSMAN,Sova Cypher KAY/O Fade Killjoy Breach,6,1,5,114,41,73,54.333332,19,3.1666667,0.16666667,94,15.666667,0.8245614,25,4.1666665,0.21929824,0.18333334,38.433334,54.833332,0,0,9,1.5,12,9,1.5,2,0.33333334,16.166666
TehSeaSnek,Skye Gekko Sova,7,3,4,147,66,81,129.71428,68,9.714286,0.46258503,111,15.857142,0.75510204,32,4.571429,0.21768707,0.65,84.11428,58.857143,5,0.71428573,18,2.5714285,14.714286,47,6.714286,6,0.85714287,38.714287
vito,Clove Omen Astra,13,8,5,266,134,132,216.07692,202,15.538462,0.7593985,185,14.230769,0.69548875,115,8.846154,0.43233082,1.1407692,143.8154,77.30769,20,1.5384616,21,1.6153846,25.461538,15,1.1538461,11,0.84615386,59.923077
Asm0deus,Viper Brimstone Astra Omen,7,3,4,138,56,82,154.14285,68,9.714286,0.49275362,100,14.285714,0.7246377,74,10.571428,0.5362319,0.68714285,93.85714,72.28571,6,0.85714287,10,1.4285715,17.428572,5,0.71428573,6,0.85714287,37.714287
Falke,Jett Brimstone,6,4,2,130,73,57,180.5,84,14,0.64615387,93,15.5,0.7153846,30,5,0.23076923,0.935,117.75,70,10,1.6666666,10,1.6666666,28.166666,4,0.6666667,0,0,47
Mrconly,Brimstone Omen Breach,7,3,4,133,54,79,165.85715,77,11,0.57894737,104,14.857142,0.7819549,46,6.571429,0.34586465,0.7628571,103.85714,59.57143,9,1.2857143,18,2.5714285,19.285715,10,1.4285715,0,0,40.57143
F3nce33,Sova Omen,2,1,1,39,18,21,131,15,7.5,0.3846154,28,14,0.71794873,16,8,0.41025642,0.555,94.649994,67,2,1,6,3,30.5,2,1,0,0,41
LK Yourself,Viper Omen,8,4,4,169,84,85,193.375,111,13.875,0.65680474,110,13.75,0.65088755,53,6.625,0.31360948,1.0425,124.4875,68.375,11,1.375,13,1.625,15.875,7,0.875,3,0.375,52.375
Beans420,Omen Astra,8,5,3,146,83,63,223.125,117,14.625,0.80136985,96,12,0.65753424,58,7.25,0.39726028,1.27125,145.45,77.25,14,1.75,13,1.625,23.5,10,1.25,4,0.5,61.75
GLVNZ felityy,Brimstone Harbour Astra Omen,6,3,3,116,59,57,145.33333,59,9.833333,0.5086207,88,14.666667,0.7586207,40,6.6666665,0.3448276,0.7233333,90.799995,70.833336,6,1,11,1.8333334,21.833334,10,1.6666666,3,0.5,39.333332
